DATETIME,TIME,LON,LAT,DEP,V
"31-DEC-2022",44559.5,72.5,6,5,0.0720221  
"31-DEC-2022",44559.5,73,6,5,0.115865  
"31-DEC-2022",44559.5,73.5,6,5,0.129279  
"31-DEC-2022",44559.5,74,6,5,0.0855955  
"31-DEC-2022",44559.5,74.5,6,5,0.00840776  
"31-DEC-2022",44559.5,75,6,5,-0.0405325  
"31-DEC-2022",44559.5,75.5,6,5,-0.0292649  
"31-DEC-2022",44559.5,76,6,5,-0.0191754  
"31-DEC-2022",44559.5,76.5,6,5,0.0614803  
"31-DEC-2022",44559.5,77,6,5,0.173899  
"31-DEC-2022",44559.5,77.5,6,5,0.257667  
"31-DEC-2022",44559.5,78,6,5,0.2955  
"31-DEC-2022",44559.5,78.5,6,5,0.189317  
"31-DEC-2022",44559.5,79,6,5,0.05845  
"31-DEC-2022",44559.5,79.5,6,5,-0.0434782  
"31-DEC-2022",44559.5,80,6,5,0.039829  
"31-DEC-2022",44559.5,80.5,6,5,-1.E+34  
"31-DEC-2022",44559.5,81,6,5,-1.E+34  
"31-DEC-2022",44559.5,81.5,6,5,0.0648651  
"31-DEC-2022",44559.5,82,6,5,0.281371  
"31-DEC-2022",44559.5,82.5,6,5,0.282027  
"31-DEC-2022",44559.5,83,6,5,0.17722  
"31-DEC-2022",44559.5,83.5,6,5,0.112713  
"31-DEC-2022",44559.5,84,6,5,0.121125  
"31-DEC-2022",44559.5,84.5,6,5,0.241108  
"31-DEC-2022",44559.5,85,6,5,0.271958  
"31-DEC-2022",44559.5,85.5,6,5,0.181843  
"31-DEC-2022",44559.5,86,6,5,0.0690469  
"31-DEC-2022",44559.5,86.5,6,5,-0.0138572  
"31-DEC-2022",44559.5,87,6,5,-0.134267  
"31-DEC-2022",44559.5,87.5,6,5,-0.275005  
"31-DEC-2022",44559.5,88,6,5,-0.26222  
"31-DEC-2022",44559.5,88.5,6,5,-0.12115  
"31-DEC-2022",44559.5,89,6,5,0.0339828  
"31-DEC-2022",44559.5,68,6.25,5,0.186578  
"31-DEC-2022",44559.5,68.5,6.25,5,0.236792  
"31-DEC-2022",44559.5,69,6.25,5,0.268883  
"31-DEC-2022",44559.5,69.5,6.25,5,0.315751  
"31-DEC-2022",44559.5,70,6.25,5,0.35981  
"31-DEC-2022",44559.5,70.5,6.25,5,0.309901  
