DATETIME,TIME,LON,LAT,DEP,EASTWARD_WIND
"31-DEC-2022",1.07819E+06,73.125,4.625,10,-6.27  
"31-DEC-2022",1.07819E+06,73.375,4.625,10,-6.49  
"31-DEC-2022",1.07819E+06,73.625,4.625,10,-6.85  
"31-DEC-2022",1.07819E+06,73.875,4.625,10,-6.68  
"31-DEC-2022",1.07819E+06,74.125,4.625,10,-6.04  
"31-DEC-2022",1.07819E+06,74.375,4.625,10,-5.75  
"31-DEC-2022",1.07819E+06,74.625,4.625,10,-5.57  
"31-DEC-2022",1.07819E+06,74.875,4.625,10,-5.37  
"31-DEC-2022",1.07819E+06,75.125,4.625,10,-5.12  
"31-DEC-2022",1.07819E+06,75.375,4.625,10,-4.74  
"31-DEC-2022",1.07819E+06,75.625,4.625,10,-4.67  
"31-DEC-2022",1.07819E+06,75.875,4.625,10,-4.55  
"31-DEC-2022",1.07819E+06,76.125,4.625,10,-4.58  
"31-DEC-2022",1.07819E+06,76.375,4.625,10,-4.68  
"31-DEC-2022",1.07819E+06,76.625,4.625,10,-4.8  
"31-DEC-2022",1.07819E+06,76.875,4.625,10,-4.76  
"31-DEC-2022",1.07819E+06,77.125,4.625,10,-4.54  
"31-DEC-2022",1.07819E+06,77.375,4.625,10,-3.68  
"31-DEC-2022",1.07819E+06,77.625,4.625,10,-2.96  
"31-DEC-2022",1.07819E+06,77.875,4.625,10,-2.34  
"31-DEC-2022",1.07819E+06,78.125,4.625,10,-1.71  
"31-DEC-2022",1.07819E+06,78.375,4.625,10,-2.08  
"31-DEC-2022",1.07819E+06,78.625,4.625,10,-2.59  
"31-DEC-2022",1.07819E+06,78.875,4.625,10,-3.45  
"31-DEC-2022",1.07819E+06,79.125,4.625,10,-5.12  
"31-DEC-2022",1.07819E+06,79.375,4.625,10,-5.4  
"31-DEC-2022",1.07819E+06,79.625,4.625,10,-4.87  
"31-DEC-2022",1.07819E+06,79.875,4.625,10,-4.92  
"31-DEC-2022",1.07819E+06,80.125,4.625,10,-4.15  
"31-DEC-2022",1.07819E+06,80.375,4.625,10,-3.63  
"31-DEC-2022",1.07819E+06,80.625,4.625,10,-3.08  
"31-DEC-2022",1.07819E+06,80.875,4.625,10,-2.59  
"31-DEC-2022",1.07819E+06,81.125,4.625,10,-2.26  
"31-DEC-2022",1.07819E+06,81.375,4.625,10,-1.82  
"31-DEC-2022",1.07819E+06,81.625,4.625,10,-1.89  
"31-DEC-2022",1.07819E+06,81.875,4.625,10,-1.31  
"31-DEC-2022",1.07819E+06,82.125,4.625,10,-0.96  
"31-DEC-2022",1.07819E+06,82.375,4.625,10,-0.24  
"31-DEC-2022",1.07819E+06,82.625,4.625,10,-0.8  
"31-DEC-2022",1.07819E+06,82.875,4.625,10,-1.36  
"31-DEC-2022",1.07819E+06,83.125,4.625,10,-2.12  
"31-DEC-2022",1.07819E+06,83.375,4.625,10,-1.92  
"31-DEC-2022",1.07819E+06,83.625,4.625,10,-2.29  
"31-DEC-2022",1.07819E+06,83.875,4.625,10,-2.18  
"31-DEC-2022",1.07819E+06,84.125,4.625,10,-2.34  
"31-DEC-2022",1.07819E+06,84.375,4.625,10,-1.93  
"31-DEC-2022",1.07819E+06,84.625,4.625,10,-1.92  
"31-DEC-2022",1.07819E+06,84.875,4.625,10,-2.18  
"31-DEC-2022",1.07819E+06,85.125,4.625,10,-2.6  
"31-DEC-2022",1.07819E+06,85.375,4.625,10,-2.76  
"31-DEC-2022",1.07819E+06,85.625,4.625,10,-2.61  
"31-DEC-2022",1.07819E+06,85.875,4.625,10,-2.39  
"31-DEC-2022",1.07819E+06,86.125,4.625,10,-2.29  
"31-DEC-2022",1.07819E+06,86.375,4.625,10,-2.39  
"31-DEC-2022",1.07819E+06,86.625,4.625,10,-2.37  
"31-DEC-2022",1.07819E+06,86.875,4.625,10,-2.5  
"31-DEC-2022",1.07819E+06,87.125,4.625,10,-2.58  
"31-DEC-2022",1.07819E+06,87.375,4.625,10,-2.75  
"31-DEC-2022",1.07819E+06,87.625,4.625,10,-3.26  
"31-DEC-2022",1.07819E+06,87.875,4.625,10,-3.33  
"31-DEC-2022",1.07819E+06,88.125,4.625,10,-3.31  
"31-DEC-2022",1.07819E+06,88.375,4.625,10,-3.08  
"31-DEC-2022",1.07819E+06,88.625,4.625,10,-2.72  
"31-DEC-2022",1.07819E+06,88.875,4.625,10,-2.77  
"31-DEC-2022",1.07819E+06,68.125,4.875,10,-5.07  
"31-DEC-2022",1.07819E+06,68.375,4.875,10,-5.26  
"31-DEC-2022",1.07819E+06,68.625,4.875,10,-4.71  
"31-DEC-2022",1.07819E+06,68.875,4.875,10,-4.24  
"31-DEC-2022",1.07819E+06,69.125,4.875,10,-4.37  
"31-DEC-2022",1.07819E+06,69.375,4.875,10,-5.71  
"31-DEC-2022",1.07819E+06,69.625,4.875,10,-5.67  
"31-DEC-2022",1.07819E+06,69.875,4.875,10,-4.93  
"31-DEC-2022",1.07819E+06,70.125,4.875,10,-6.09  
"31-DEC-2022",1.07819E+06,70.375,4.875,10,-6.73  
"31-DEC-2022",1.07819E+06,70.625,4.875,10,-7.45  
