DATETIME,TIME,LON,LAT,E_WIND,N_WIND,Z_CURR,M_CURR
31-DEC-2022,44559.5,83.0,5.25,-2.26,-6.46,-0.296718,0.192096
31-DEC-2022,44559.5,83.5,5.25,-2.285,-7.275,-0.249715,0.201677
31-DEC-2022,44559.5,84.0,5.25,-2.25,-6.18,-0.226339,0.234027
31-DEC-2022,44559.5,84.5,5.25,-2.675,-5.76,-0.289401,0.234284
31-DEC-2022,44559.5,85.0,5.25,-2.84,-5.635,-0.372648,0.248168
31-DEC-2022,44559.5,85.5,5.25,-3.235003,-5.2,-0.370441,0.216931
31-DEC-2022,44559.5,86.0,5.25,-3.36,-5.385,-0.30833,0.119586
31-DEC-2022,44559.5,86.5,5.25,-3.34,-5.535,-0.245514,0.00953586
31-DEC-2022,44559.5,87.0,5.25,-2.505,-5.935005,-0.227523,-0.00354675
31-DEC-2022,44559.5,87.5,5.25,-2.8203,-6.04,-0.164669,-0.00620189
31-DEC-2022,44559.5,88.0,5.25,-2.52,-5.7340,-0.0496112,0.00343804
31-DEC-2022,44559.5,88.5,5.25,-2.615,-5.42,0.0114888,0.0955531
31-DEC-2022,44559.5,89.0,5.25,-2.97,-4.82,0.0319645,0.193498
31-DEC-2022,44559.5,68.0,5.5,-5.44,-3.41,-0.165986,0.231178
31-DEC-2022,44559.5,68.5,5.5,-5.59501,-3.4,-0.195284,0.250008
31-DEC-2022,44559.5,69.0,5.5,-4.07,-5.29,-0.227231,0.25942
31-DEC-2022,44559.5,69.5,5.5,-5.61,-1.54,-0.26481,0.265269
31-DEC-2022,44559.5,70.0,5.5,-5.18,-0.8501,-0.342185,0.260572
31-DEC-2022,44559.5,70.5,5.5,-4.95,-1.77,-0.405634,0.194213
31-DEC-2022,44559.5,71.0,5.5,-6.035,-2.17,-0.442037,0.11662
31-DEC-2022,44559.5,71.5,5.5,-6.22001,-2.305,-0.43012,0.0599517
31-DEC-2022,44559.5,72.0,5.5,-5.86,-2.27,-0.35807,0.0690675
31-DEC-2022,44559.5,72.5,5.5,-6.42,-2.02,-0.302382,0.0855569
31-DEC-2022,44559.5,73.0,5.5,-6.725,-1.89,-0.254221,0.106857
31-DEC-2022,44559.5,73.5,5.5,-6.4840,-2.375,-0.229297,0.0944331
31-DEC-2022,44559.5,74.0,5.5,-6.23,-2.84,-0.230075,0.0565724
31-DEC-2022,44559.5,74.5,5.5,-5.9840,-3.06,-0.24957,-0.0484111
31-DEC-2022,44559.5,75.0,5.5,-5.875,-2.87,-0.205402,-0.123287
31-DEC-2022,44559.5,75.5,5.5,-5.6109,-2.99,-0.180038,-0.0502513
31-DEC-2022,44559.5,76.0,5.5,-5.404,-3.999-,0.193987,0.0334139
31-DEC-2022,44559.5,76.5,5.5,-5.335,-4.14,-0.174316,0.176251
31-DEC-2022,44559.5,77.0,5.5,-4.465,-4.505,-0.104446,0.369154
31-DEC-2022,44559.5,77.5,5.5,-3.8,-5.1540,-0.0497218,0.50209
31-DEC-2022,44559.5,78.0,5.5,-4.09,-5.27,-0.03038,0.378035
31-DEC-2022,44559.5,78.5,5.5,-4.2340,-5.275,-0.0245355,0.238417
31-DEC-2022,44559.5,79.0,5.5,-2.53,-4.0,0.0291309,0.0860696
31-DEC-2022,44559.5,79.5,5.5,-2.505,-2.865,0.0425459,-0.0204457
31-DEC-2022,44559.5,80.0,5.5,-2.385,-2.985003,-0.00429934,-0.0739963
31-DEC-2022,44559.5,80.5,5.5,-2.91,-4.185005,-0.184179,0.0141649
31-DEC-2022,44559.5,81.0,5.5,-6.445,-6.355,-0.241165,0.105923
31-DEC-2022,44559.5,81.5,5.5,-2.805,-8.465,-0.255097,0.195113
31-DEC-2022,44559.5,82.0,5.5,-1.225,-6.68,-0.272681,0.236082
31-DEC-2022,44559.5,82.5,5.5,-0.46,-6.8105,-0.298898,0.242385
31-DEC-2022,44559.5,83.0,5.5,-1.545,-6.425,-0.287694,0.190076
31-DEC-2022,44559.5,83.5,5.5,-2.245,-7.09501,-0.229758,0.179343
31-DEC-2022,44559.5,84.0,5.5,-2.28,-6.305,-0.203857,0.228165
31-DEC-2022,44559.5,84.5,5.5,-3.095,-6.08,-0.267667,0.305573
31-DEC-2022,44559.5,85.0,5.5,-3.125,-6.135,-0.341645,0.297149
31-DEC-2022,44559.5,85.5,5.5,-3.395,-5.725,-0.324595,0.247377
31-DEC-2022,44559.5,86.0,5.5,-3.485003,-5.65,-0.274587,0.110372
31-DEC-2022,44559.5,86.5,5.5,-3.435,-5.41,-0.258614,0.00795566
31-DEC-2022,44559.5,87.0,5.5,-2.835,-5.68,-0.200981,-0.00990304
31-DEC-2022,44559.5,87.5,5.5,-2.99,-5.785,-0.0737454,-0.0578065
31-DEC-2022,44559.5,88.0,5.5,-2.65,-5.855,0.0686795,-0.0338769
31-DEC-2022,44559.5,88.5,5.5,-2.825,-5.83,0.128316,0.0774616
31-DEC-2022,44559.5,89.0,5.5,-2.69,-5.66,0.126896,0.189014
31-DEC-2022,44559.5,68.0,5.75,-5.41,-3.21,-0.0974818,0.225533
31-DEC-2022,44559.5,68.5,5.75,-5.37,-3.085,-0.132648,0.254159
31-DEC-2022,44559.5,69.0,5.75,-4.31,-4.98,-0.178624,0.273414
31-DEC-2022,44559.5,69.5,5.75,-4.88,-2.785,-0.224012,0.297663
31-DEC-2022,44559.5,70.0,5.75,-5.01,-1.29,-0.278169,0.297021
31-DEC-2022,44559.5,70.5,5.75,-4.76501,-1.71,-0.335202,0.243607
31-DEC-2022,44559.5,71.0,5.75,-5.355,-1.935,-0.387185,0.14461
31-DEC-2022,44559.5,71.5,5.75,-5.275,-2.38,-0.3902,0.0555609
31-DEC-2022,44559.5,72.0,5.75,-5.76,-2.25,-0.331173,0.0470368
31-DEC-2022,44559.5,72.5,5.75,-6.255,-1.69408,-0.277116,0.0666066
31-DEC-2022,44559.5,73.0,5.75,-6.555,-1.34,-0.248846,0.0920826
31-DEC-2022,44559.5,73.5,5.75,-6.52,-1.95,-0.21837,0.1111
31-DEC-2022,44559.5,74.0,5.75,-6.21,-2.495,-0.258226,0.0501369
