DATETIME,TIME,LON,LAT,ZON,MER
31-DEC-2022,44559.5,73.5,5.75,-0.21837,0.1111
31-DEC-2022,44559.5,74.0,5.75,-0.258226,0.0501369
31-DEC-2022,44559.5,74.5,5.75,-0.309497,-0.0227702
31-DEC-2022,44559.5,75.0,5.75,-0.295754,-0.0817797
31-DEC-2022,44559.5,75.5,5.75,-0.311463,-0.0403858
31-DEC-2022,44559.5,76.0,5.75,-0.287326,0.0271922
31-DEC-2022,44559.5,76.5,5.75,-0.238589,0.123844
31-DEC-2022,44559.5,77.0,5.75,-0.127093,0.253497
31-DEC-2022,44559.5,77.5,5.75,0.0178486,0.411312
31-DEC-2022,44559.5,78.0,5.75,0.064519,0.360443
31-DEC-2022,44559.5,78.5,5.75,0.122996,0.247729
31-DEC-2022,44559.5,79.0,5.75,0.105771,0.0990947
31-DEC-2022,44559.5,79.5,5.75,0.152552,-0.0544938
31-DEC-2022,44559.5,80.0,5.75,0.0159411,0.0209561
31-DEC-2022,44559.5,80.5,5.75,-0.179963,0.00459353
31-DEC-2022,44559.5,81.0,5.75,-0.225141,0.0415252
31-DEC-2022,44559.5,81.5,5.75,-0.187442,0.140894
31-DEC-2022,44559.5,82.0,5.75,-0.174408,0.254613
31-DEC-2022,44559.5,82.5,5.75,-0.232834,0.266897
31-DEC-2022,44559.5,83.0,5.75,-0.25129,0.1612
31-DEC-2022,44559.5,83.5,5.75,-0.224014,0.1342
31-DEC-2022,44559.5,84.0,5.75,-0.170489,0.186934
31-DEC-2022,44559.5,84.5,5.75,-0.223543,0.286626
31-DEC-2022,44559.5,85.0,5.75,-0.29405,0.305204
31-DEC-2022,44559.5,85.5,5.75,-0.288957,0.224331
31-DEC-2022,44559.5,86.0,5.75,-0.267771,0.0932275
31-DEC-2022,44559.5,86.5,5.75,-0.266116,0.00307721
31-DEC-2022,44559.5,87.0,5.75,-0.157579,-0.0528785
31-DEC-2022,44559.5,87.5,5.75,0.0203504,-0.149191
31-DEC-2022,44559.5,88.0,5.75,0.145946,-0.136163
31-DEC-2022,44559.5,88.5,5.75,0.200389,-0.0173591
31-DEC-2022,44559.5,89.0,5.75,0.218233,0.131183
31-DEC-2022,44559.5,68.0,6.0,-0.0290033,0.211866
31-DEC-2022,44559.5,68.5,6.0,-0.0644737,0.251093
31-DEC-2022,44559.5,69.0,6.0,-0.112905,0.281945
31-DEC-2022,44559.5,69.5,6.0,-0.170263,0.31476
31-DEC-2022,44559.5,70.0,6.0,-0.215209,0.338549
31-DEC-2022,44559.5,70.5,6.0,-0.262358,0.280473
31-DEC-2022,44559.5,71.0,6.0,-0.325259,0.141363
31-DEC-2022,44559.5,71.5,6.0,-0.346359,0.0435147
31-DEC-2022,44559.5,72.0,6.0,-0.33321,0.00468744
31-DEC-2022,44559.5,72.5,6.0,-0.301753,0.0720221
31-DEC-2022,44559.5,73.0,6.0,-0.302998,0.115865
31-DEC-2022,44559.5,73.5,6.0,-0.29414,0.129279
31-DEC-2022,44559.5,74.0,6.0,-0.321836,0.0855955
31-DEC-2022,44559.5,74.5,6.0,-0.413525,0.00840776
31-DEC-2022,44559.5,75.0,6.0,-0.488332,-0.0405325
31-DEC-2022,44559.5,75.5,6.0,-0.508842,-0.0292649
31-DEC-2022,44559.5,76.0,6.0,-0.446501,-0.0191754
31-DEC-2022,44559.5,76.5,6.0,-0.318998,0.0614803
31-DEC-2022,44559.5,77.0,6.0,-0.204332,0.173899
31-DEC-2022,44559.5,77.5,6.0,-0.0343367,0.257667
31-DEC-2022,44559.5,78.0,6.0,0.123262,0.2955
31-DEC-2022,44559.5,78.5,6.0,0.174263,0.189317
31-DEC-2022,44559.5,79.0,6.0,0.204433,0.05845
31-DEC-2022,44559.5,79.5,6.0,0.117703,-0.0434782
31-DEC-2022,44559.5,80.0,6.0,0.0511454,0.039829
31-DEC-2022,44559.5,80.5,6.0,-1e+34,-1e+34
31-DEC-2022,44559.5,81.0,6.0,-1e+34,-1e+34
31-DEC-2022,44559.5,81.5,6.0,-0.0351388,0.0648651
31-DEC-2022,44559.5,82.0,6.0,-0.092135,0.281371
31-DEC-2022,44559.5,82.5,6.0,-0.161522,0.282027
31-DEC-2022,44559.5,83.0,6.0,-0.225672,0.17722
31-DEC-2022,44559.5,83.5,6.0,-0.188718,0.112713
31-DEC-2022,44559.5,84.0,6.0,-0.157882,0.121125
31-DEC-2022,44559.5,84.5,6.0,-0.183698,0.241108
31-DEC-2022,44559.5,85.0,6.0,-0.242572,0.271958
31-DEC-2022,44559.5,85.5,6.0,-0.2577,0.181843
31-DEC-2022,44559.5,86.0,6.0,-0.266409,0.0690469
31-DEC-2022,44559.5,86.5,6.0,-0.260013,-0.0138572
31-DEC-2022,44559.5,87.0,6.0,-0.117704,-0.134267
31-DEC-2022,44559.5,87.5,6.0,0.045354,-0.275005
31-DEC-2022,44559.5,88.0,6.0,0.106698,-0.26222
31-DEC-2022,44559.5,88.5,6.0,0.177771,-0.12115
31-DEC-2022,44559.5,89.0,6.0,0.234629,0.0339828
31-DEC-2022,44559.5,68.0,6.25,0.0525543,0.186578
31-DEC-2022,44559.5,68.5,6.25,0.0109839,0.236792
31-DEC-2022,44559.5,69.0,6.25,-0.0420944,0.268883
31-DEC-2022,44559.5,69.5,6.25,-0.106572,0.315751
31-DEC-2022,44559.5,70.0,6.25,-0.155672,0.35981
31-DEC-2022,44559.5,70.5,6.25,-0.20927,0.309901
